Pair,Group,ClutchesWEggs,EggsPerClutch,Fertility
3.2XA.3,Postzygotics-hybridXgraellsii-(H:BelgiumXCachadas)XAlloGra,1,2.666666667,0
3.3X5.11,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),0,NA,NA
3.3XA.6,Postzygotics-hybridXgraellsii-(H:BelgiumXCachadas)XAlloGra,3,7.666666667,0
4.14X1.47,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),3,4.333333333,0
4.1X5.3,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),3,14.66666667,0
4.1XA.5,Postzygotics-hybridXgraellsii-(H:BelgiumXCachadas)XAlloGra,1,0.666666667,0
4.2XP.1,Postzygotics-hybridXelegans-(H:BelgiumXCachadas)XAlloEle,1,4.5,0
4.4X4.8,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),2,29,0
414XA.285,Conspecifics-graellsiiXgraellsii-AlbaXAlba,3,217,0.973886329
5.11X1.1,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),2,4.333333333,0
5.11X3.41,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),0,NA,NA
5.11X3.5,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),0,NA,NA
5.11XA.15,Postzygotics-hybridXgraellsii-(H:BelgiumXCachadas)XAlloGra,2,3.333333333,0
5.11XA.17,Postzygotics-hybridXgraellsii-(H:BelgiumXCachadas)XAlloGra,2,0.666666667,0
5.14XL.9,Postzygotics-hybridXelegans-(H:BelgiumXCachadas)XAlloEle,3,34.33333333,0
5.14XP.14,Postzygotics-hybridXelegans-(H:BelgiumXCachadas)XAlloEle,0,NA,NA
5.16X5.18,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),3,7,0
5.4XP.3,Postzygotics-hybridXelegans-(H:BelgiumXCachadas)XAlloEle,2,2.333333333,0
5.6XA.26,Postzygotics-hybridXgraellsii-(H:BelgiumXCachadas)XAlloGra,2,1.333333333,0
5.6XB.5,Postzygotics-hybridXelegans-(H:BelgiumXCachadas)XAlloEle,0,NA,NA
5.6XL.3,Postzygotics-hybridXelegans-(H:BelgiumXCachadas)XAlloEle,0,NA,NA
5.8X5.9,Postzygotics-hybridXhybrid-(H:BelgiumXCachadas)X(H:BelgiumXCachadas),1,0.666666667,0
5.8XE.2,Postzygotics-hybridXelegans-(H:BelgiumXCachadas)XAlloEle,2,24.66666667,0
54XA.68,Conspecifics-graellsiiXgraellsii-AlbaXAlba,3,131,0.959287532
63XA.66,Conspecifics-graellsiiXgraellsii-AlbaXAlba,2,214.3333333,0.976671851
A.10XB.7,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,1,8,0
A.10XC.1,Conspecifics-elegansXelegans-BelgiumXSweden,3,272.6666667,0.951100244
A.13XL.18,Heterospecifics-graellsiiXelegans-CachadasXMaraixDorx,2,167,0.119760479
A.19XC.10,Conspecifics-elegansXelegans-BelgiumXSweden,3,406.6666667,0.936065574
A.23XA.22,Conspecifics-elegansXelegans-BelgiumXBelgium,3,319,0.952978056
A.25XB.54,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,2,21,0
A.26XB.50,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,2,13.33333333,0
A.26XB.55,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,1,40,0
A.27XA.29,Conspecifics-elegansXelegans-BelgiumXBelgium,3,214,0.836448598
A.27XB.29,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,0,NA,NA
A.2XA.12,Conspecifics-elegansXelegans-BelgiumXSweden,3,181.6666667,0.902752294
A.2XB.2,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,0,NA,NA
A.30XB.48,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,3,27.66666667,0
A.32XB.74,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,1,16,0
A.36XB.72,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,3,23.33333333,0
A.46XC.25,Conspecifics-elegansXelegans-BelgiumXSweden,3,370,0.928828829
A.4X2.3,Postzygotics-graellsiiXhybrid-AlloGraX(H:BelgiumXCachadas),3,175.3333333,0.868821293
A.7XB.4,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,0,NA,NA
A11,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,23.33333333,0.6
A13,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,19,0.385964912
A49,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,113.3333333,0.435294118
A5,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,1,110,0.290909091
A51,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,120.3333333,0.689750693
A52,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,226.6666667,0.264705882
A55,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,238.3333333,0.337062937
A56,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,172,0.406976744
A6,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,46.66666667,0.142857143
B.10X1.38,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),2,37,0
B.10XK.9,Conspecifics-elegansXelegans-BelgiumX(E:BelgiumXSweden),2,72,0.513888889
B.14X1.28,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),1,0.333333333,0
B.36XA.38,Heterospecifics-graellsiiXelegans-CachadasXBelgium,2,325.5,0.807987711
B.42XA.21,Heterospecifics-graellsiiXelegans-CachadasXBelgium,3,243.6666667,0.969904241
B.42XA.43,Heterospecifics-graellsiiXelegans-CachadasXBelgium,3,241,0.970954357
B.42XB.57,Conspecifics-graellsiiXgraellsii-CachadasXCachadas,3,76.33333333,0.84279476
B.44XA.34,Heterospecifics-graellsiiXelegans-CachadasXBelgium,3,217,0.858678955
B.6XB.8,Conspecifics-elegansXelegans-BelgiumXBelgium,3,205.3333333,0.941558442
B.6XE.5,Conspecifics-elegansXelegans-BelgiumXBelgium,3,114.3333333,0.2303207
B.88XA.39,Heterospecifics-graellsiiXelegans-CachadasXBelgium,3,222,0.483483483
B.9XE.13,Conspecifics-elegansXelegans-BelgiumXBelgium,3,111.6666667,0.119402985
C.12XB.53,Heterospecifics-elegansXgraellsii-SwedenXCachadas,0,NA,NA
C.16XB.52,Heterospecifics-elegansXgraellsii-SwedenXCachadas,1,15.5,0
C.17XC.22,Conspecifics-elegansXelegans-SwedenXSweden,1,205,0.882926829
C.4XB.1,Heterospecifics-elegansXgraellsii-SwedenXCachadas,0,NA,NA
C.6XA.20,Conspecifics-elegansXelegans-SwedenXSweden,0,NA,NA
C.6XB.28,Heterospecifics-elegansXgraellsii-SwedenXCachadas,0,NA,NA
C.6XC.3,Conspecifics-elegansXelegans-SwedenXSweden,2,344.5,0.955007257
C.8XB.53,Heterospecifics-elegansXgraellsii-SwedenXCachadas,0,NA,NA
C.8XB.9,Heterospecifics-elegansXgraellsii-SwedenXCachadas,0,NA,NA
E.10X1.26,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),2,58,0
E.10X4.9,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),1,79.33333333,0
E.10XE.11,Conspecifics-elegansXelegans-BelgiumXBelgium,2,116.6666667,0.777142857
E.14X1.3,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),1,9,0
E.14XL.18,Conspecifics-elegansXelegans-BelgiumXMaraixDorx,2,82.33333333,0.020242915
E.15XV.1,Conspecifics-elegansXelegans-BelgiumXSweden,3,109.6666667,0.003039514
E.19X3.18,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),2,51,0
E.19XB.12,Conspecifics-elegansXelegans-BelgiumXBelgium,3,201.3333333,0.897350993
E.1XA.7,Heterospecifics-elegansXgraellsii-BelgiumXCachadas,2,0.333333333,0
E.22X1.42,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),3,133.6666667,0
E.23XP.31,Conspecifics-elegansXelegans-BelgiumXLaigual,2,90,0.32962963
E.9XE.20,Conspecifics-elegansXelegans-BelgiumXBelgium,1,55.66666667,0
Fem_19IxMal_E27,Heterospecifics-elegansXgraellsii-ArlesXCachadas,3,17.66666667,0
Fem_A10IxMal_F75,Heterospecifics-elegansXgraellsii-ArlesXCachadas,1,7,0
Fem_A12IxMal_F70,Heterospecifics-elegansXgraellsii-ArlesXCachadas,1,6,0
Fem_A14IxMal_F70,Heterospecifics-elegansXgraellsii-ArlesXCachadas,1,2,0
Fem_A18IxMal_F95,Heterospecifics-elegansXgraellsii-ArlesXCachadas,1,6,0
Fem_A21IxMal_F111,Heterospecifics-elegansXgraellsii-ArlesXCachadas,1,2,0
Fem_A2IxMal_F56,Heterospecifics-elegansXgraellsii-ArlesXCachadas,1,2,0
Fem_A5IxMal_F56,Heterospecifics-elegansXgraellsii-ArlesXCachadas,0,NA,NA
Fem_C1IxMal_F1(24,Heterospecifics-elegansXgraellsii-ArlesXCachadas,1,191,0
Fem_E28IxMal_E36,Conspecifics-elegansXelegans-ArlesXArles,3,419.6666667,0.950754567
Fem_E30IxMal_E36,Conspecifics-elegansXelegans-ArlesXArles,0,NA,NA
Fem_E35VixMal_E27,Conspecifics-elegansXelegans-ArlesXArles,0,NA,NA
Fem_F11IxMal_F17,Conspecifics-elegansXelegans-ArlesXArles,1,322,0.740291262
Fem_F19IxMal_F15,Conspecifics-elegansXelegans-ArlesXArles,1,518,0.984555985
Fem_F25IxMal_F25?,Conspecifics-elegansXelegans-ArlesXArles,1,128,0.4921875
Fem_F27IxMal_F22,Conspecifics-elegansXelegans-ArlesXArles,1,457,0.682713348
Fem_F2IxMal_F17,Conspecifics-elegansXelegans-ArlesXArles,0,NA,NA
Fem_F48IxMal_F58,Conspecifics-elegansXelegans-ArlesXArles,1,621,0.768115942
Fem_F4IxMal_F17,Conspecifics-elegansXelegans-ArlesXArles,1,510,0.868627451
Fem_F5IxMal_F12,Conspecifics-elegansXelegans-ArlesXArles,1,500,0.768
Fem_F65aIxMal_F2,Conspecifics-elegansXelegans-ArlesXArles,1,258,0.965116279
Fem_F65bIxMal_F56,Conspecifics-elegansXelegans-ArlesXArles,1,20,0.4
Fem_F66IxMal_F58,Conspecifics-elegansXelegans-ArlesXArles,1,414,0.461352657
Fem_F67IxMal_F63,Conspecifics-elegansXelegans-ArlesXArles,1,404,0.564356436
Fem_F68IxMal_F62,Conspecifics-elegansXelegans-ArlesXArles,1,268,0.876865672
Fem_F79IxMal_F70,Conspecifics-elegansXelegans-ArlesXArles,1,331,0.963746224
Fem_F81IxMal_F78,Conspecifics-elegansXelegans-ArlesXArles,1,182,0.56043956
Fem_F83IxMal_F75,Conspecifics-elegansXelegans-ArlesXArles,1,97,0.618556701
Fem_G40IxMal_E36,Heterospecifics-elegansXgraellsii-ArlesXCachadas,3,4.333333333,0
H.2XH.1,Conspecifics-elegansXelegans-(E:BelgiumXSweden)X(E:BelgiumXSweden),3,83.33333333,0.052
H.5X1.29,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),2,47.66666667,0
I.1X3.6,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),2,136.6666667,0.419512195
I.2XE.25,Conspecifics-elegansXelegans-(E:BelgiumXSweden)XBelgium,1,53.66666667,0
I.2XH.12,Conspecifics-elegansXelegans-(E:BelgiumXSweden)X(E:BelgiumXSweden),3,135.6666667,0.636363636
K.11XK.12,Conspecifics-elegansXelegans-(E:BelgiumXSweden)X(E:BelgiumXSweden),3,170.3333333,0.917808219
K.28XK.30,Conspecifics-elegansXelegans-(E:BelgiumXSweden)X(E:BelgiumXSweden),1,59.66666667,0.631284916
K.28XV.4,Conspecifics-elegansXelegans-(E:BelgiumXSweden)XSweden,2,126.6666667,0.234210526
K.5X3.9,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),0,NA,NA
L.20XV.7,Conspecifics-elegansXelegans-MaraixDorxXSweden,2,79.33333333,0.659663866
O.3XH.10,Conspecifics-elegansXelegans-BayonneX(E:BelgiumXSweden),3,73.66666667,0.859728507
O.3XP.29,Conspecifics-elegansXelegans-BayonneXLaigual,2,243.3333333,0.520547945
P.15XK.2,Conspecifics-elegansXelegans-LaigualX(E:BelgiumXSweden),2,147.3333333,0.963800905
P.16XA.27,Heterospecifics-elegansXgraellsii-LaigualXCachadas,0,NA,NA
P.16XE.3,Conspecifics-elegansXelegans-MaraixDorxXBelgium,2,150.6666667,0.048672566
P.22XP.28,Conspecifics-elegansXelegans-LaigualXLaigual,2,258.3333333,0.418064516
P.23XA.30,Heterospecifics-elegansXgraellsii-LaigualXCachadas,0,NA,NA
P.24XA.28,Heterospecifics-elegansXgraellsii-LaigualXCachadas,1,2,0
P.6XO.4,Conspecifics-elegansXelegans-LaigualXBayonne,3,181.3333333,0.580882353
P.8X5.15,Postzygotics-elegansXhybrid-AlloEleX(H:BelgiumXCachadas),3,146.6666667,0
V.15XX.3,Conspecifics-elegansXelegans-(E:BelgiumXSweden)XSweden,2,58.33333333,0.908571429
V.6XK.27,Conspecifics-elegansXelegans-SwedenX(E:BelgiumXSweden),2,84.33333333,0.723320158
0,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
